=== appendix 15 · gazette page 214 · pdf page 1 ===
Appendix-15: Use zones across different master plans
214

--- table 0 (48 rows × 7 cols) ---
[#D9E1F2] | Use Zone | [#002060] | [#002060] | [#002060] | [#002060]
1 | Built up | Built-up | Built-up | Built-up | Built-up
2 | Residential | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW]
3 | Mixed Use 1&2 | Mixed Use | Mixed Use | NIL | NIL
4 | Commercial 1-Retail /CBD /Sub- | City Centre | City Centre | Bazaar Street | Commercial/ Leather
[#D9E1F2] | CBD /Bazaar Street | Sub- City Centre | Sub- City Centre | City Centre/ CBD | Mandi/ Business Centre
 | [#D9E1F2] | Bazaar Street | Bazaar Street | Sub-city centre/Sub-CBD | Bazaar Street
 |  | Other Commercial | [#BDD7EE] | Neighbourhood, Tourism | [#BDD7EE]
5 | Commercial 2-Wholesale/ Godown | Wholesale/ Warehousing/ Mandi | Wholesale/ Warehousing/ Mandi | Wholesale Business | NIL
[#D9E1F2] | [#D9E1F2] | [#5B9BD5] | [#5B9BD5] | [#5B9BD5] | 
6 | Small Industries | Small & Service Industries | Small & Service Industries | Non polluting industries | [#CCCCFF]
7 | Large Industries | Medium/Large Industries | Medium/Large Industries | Non polluting industries | NIL
8 | Office Buildings | Govt Semi-govt and other Offices | Govt Semi-govt and other Offices | Offices | Offices
9 | Public & Semi-public | Public Semi-Public Facilities | Public Semi-Public Facilities and | Community Facilities | [#D9E1F2]
[#D9E1F2] | [#D9E1F2] | Services and Utilities | Services and Utilities | [#FFF2CC] | [#D9E1F2]
 |  | [#FFF2CC] | [#FFF2CC] |  | 
10 | Transport 1&2, Parking | Transport Services | Transport Services | Transport Nagar | Traffic and Transportation
[#D9E1F2] | [#D9E1F2] | Airport/ Water Transport Terminal | Airport/ Water Transport Terminal | Bus stand | [#D6DCE4]
 |  | Railway Yard/ Railway Land | Railway Yard/ Railway Land | [#D6DCE4] | 
 |  | [#D6DCE4] | [#D6DCE4] |  | 
11 | Forest | Garden | Garden | Forest area | NIL
12 | Recreational 1&2 | Park | Park | Sector Park, Regional Park, District Park, Zonal Park, | Recreational area
[#D9E1F2] | [#D9E1F2] | [#A9D08E] | [#A9D08E] | Amusement Park, National Park, | [#A9D08E]
 |  |  |  | Riverfront Development | 
13 | Green belt | Green Belt | Green Belt | Green Belt | Green Belt
14 | Rural Abadi | Rural Abadi | Rural Abadi | Rural Abadi | Rural Abadi
15 | Agriculture | Agriculture | Agriculture | Agriculture | Agriculture
16 | Highway Facilities | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone
17 | Additional Land use |  |  |  | 

=== appendix 15 · gazette page 218 · pdf page 5 ===
Appendix-15 (part-5)
218

--- table 0 (42 rows × 5 cols) ---
 | Sl. No. | 20 | 21 | 22
# | Development Authority/ | Kanpur | Mirzapur-Vindhyachal | Prayagraj
[#D9E1F2] | Use Zone | [#002060] | [#002060] | [#002060]
1 | Built up | Built-up | Built-up | Built-up
2 | Residential | Residential[YELLOW] | Residential[YELLOW] | Residential[YELLOW]
3 | Mixed Use 1&2 | NIL | NIL | NIL
4 | Commercial 1-Retail /CBD /Sub-CBD /Bazaar Street | City Centre/ CBD | Zonal Centre, City Centre | District Centre, City Centre
[#D9E1F2] | [#D9E1F2] | Sub-city centre | Bazaar Street | General Business, Bazaar Street
 |  | Bazaar Street | [#BDD7EE] | [#BDD7EE]
5 | Commercial 2-Wholesale/ Godown | Warehousing/ Agricultural Produce Mandi | Wholesale/ Storage Godown/ Warehouse | Wholesale/ Storage
[#D9E1F2] | [#D9E1F2] | [#5B9BD5] | [#5B9BD5] | [#5B9BD5]
6 | Small Industries | Small & Service Industries | Small Industries | Small Industries/Cottage
[#D9E1F2] | [#D9E1F2] | Cottage Industries | [#CCCCFF] | [#CCCCFF]
7 | Large Industries | Medium/Large Industries | NIL | Medium Industries
[#D9E1F2] | [#D9E1F2] | [#CCCCFF] |  | Large Industries
8 | Office Buildings | Offices | Govt Semi-Govt and Local Offices | Govt Semi-Govt and Local Offices
[#D9E1F2] | [#D9E1F2] |  | Private Offices/ Agent Offices | Private Offices/ Agent Offices
 |  |  | Banks | Banks
 |  |  |  | 
9 | Public & Semi-public | 1. Public Semi-Public Facilities and Services and Utilities | School, College | School, College
[#D9E1F2] | [#D9E1F2] | 2. Educational Institution, Healthcare Services, | University, Technical, Hitech, | University, Technical, Hitech,
 |  | Knowledge Park, Technical/Specialized institutes | General Hospital | General Hospital
 |  | 3. Jalkal, Power house, HT Line, Dumping Ground, STP, | Medical College | Medical College
 |  | Fire Station, Police Station, Telecom | Jalkal, Power, Sewage Farm | Jalkal, Power, Sewage Farm
10 | Transport 1&2, Parking | Transport Services | Transport Nagar | Transport Nagar
[#D9E1F2] | [#D9E1F2] | Airstrip/ Airport/ Water Transport/ ISBT | Bus Terminal | Bus Terminal ;
 |  | Bus Terminal/ Railway Yard/ Railway land/ Truck | Truck Terminal | Truck Terminal
 |  | Terminal/ Multi-modal logistic park | Water Transport | Water Transport
11 | Forest | Reserved Forest, Afforestation | Protected Forests | Afforestation
[#D9E1F2] | [#D9E1F2] | Bird Sanctuary | [#C6E0B4] | Grassland and Dairy Farm
12 | Recreational 1&2 | 1. Parks and Open Spaces | Park | Parks/Open spaces; District Park, Local
[#D9E1F2] | [#D9E1F2] | 2. Stadium/ Playground/ District Park/ Regional Park/ | City level Park | 
 |  | Amusement Park, Ecological Park/ Mela ground | Exhibition Ground/ Tourism | Park
 |  | 3. Riverfront Development | Socio-cultural and Religious area | Kumbh mela
 |  | [#A9D08E] | [#A9D08E] | 
 |  |  |  | Umsam Riverfront Development
 |  |  |  | Cultural and religious site
13 | Green belt | Green Belt | Green Belt | Green Belt
14 | Rural Abadi | Rural Abadi | Rural Abadi | Rural Abadi
15 | Agriculture | Agriculture | Agriculture | Agriculture
16 | Highway Facilities | Highway Facility Zone | Highway Facility Zone | Highway Facility Zone
17 | Additional Land use |  |  |
